Common Name,Botanical Name,Family,Description
Striped Jug Flower Orchid,Acanthephippium striatum,Orchidaceae," Striped Jug Flower Orchid is a medium sized, warm to
cool growing terrestrial orchid. Striped jug-like flowers are borne on
an erect, short to 4 cm long, bracted cluster arising with a new
growth. The cluster carries 2-5, fragrant flowers. The plant has
closely approximate, narrowly conical pseudobulbs enveloped basally by
a few violet streaked sheaths and carrying one or two, elliptic,
tapering, narrowing below into an elongate stalked base leaves. Striped
Jug Flower Orchid is found in  NE India, China, Indonesia, Malaysia,
Nepal, Thailand, Vietnam, at altitudes of  400-2000 m. Flowering:
April-June. 
"
Bristly Starbur,Acanthospermum hispidum ,Asteraceae," Bristly Starbur is an annual herb characterized by hairy stem, 
yellow-green 
florets, opposite leaves and fruits with hooked spines. Stems are erect, 
20-80 cm long, diffusely branched, velvety with long hairs.  Leaves are 
elliptic to ovate, 2-10 cm long, 1-7 cm wide, with glands on lower 
surface. Leaf margins are toothed to nearly entire, gradually tapering to 
the base, stalkless.  Flower-heads are yellow, 4-5 mm in diameter. Burs 
are wedge-shaped, strongly compressed, 4-7 mm long, the ribs bearing 1-2 
rows of hooked prickles 1-2 mm long, the 2 apical prickles stout, curved 
or straight, 3-4 mm long. "
Sea Holly,Acanthus ilicifolius,Acanthaceae," Sea Holly is a mangrove plant which has leaves
which look like the spiny holly leaves. In fact, not all the leaves
have the spiny edges that give them their common name. Leaves growing
the deep shade can be totally spineless. Unlike some mangrove plants,
Sea Holly do not exclude salt at the root level. In fact, their sap is
salty and excess salt is secreted through the leaves, to be removed by
rain or wind. Sometimes, the salt can be seen as a white crystalline
layer on the upper surface. The plant produces a cluster of flowers
which appear in neatly organized spikes at branch tips. Flowers have a
single large petal large, showy and light violet. When the pods ripen,
they explode to propel the seeds up to 2 m away. The plants flower
gregariously. Flowering: December-May.	
"
Bear's Breeches,Acanthus mollis,Acanthaceae," Bear's Breeches is a perennial herb with reaches on
average 30-80 cm in height, with a maximum of 1.8 m, inflorescence
included. It has basal clusters of deeply lobed and cut, shiny dark
green leaves, soft to the touch, up to 40 cm long and 25 cm broad, with
a long leaf-stalk. The inflorescence is a cylindrical spike 30-40 cm 
long and can produce up to 120 flowers. The flowers are tubular,
whitish, and lilac or rose in color. Each flower is up to 5 cm long and
it is surrounded by three green or purplish bracts. The central bract
is spiny and larger than the other two. The sepal tube has two lips:
the upper is purple on top, rather long and forms a kind of ""helmet"" on
top of the flower. The flower is reduced to a white lower lip,
trilobed, with purple-pink venation. The four stamens are fused to the
flower and look like tiny brushes. Bear's Breeches is native to the
Mediterranean region from Portugal and northwest Africa east to Croatia
and it is one of the earliest cultivated species. 
"
Pineapple Guava,Acca sellowiana,Myrtaceae," Pineapple Guava is an evergreen shrub or small tree,
up to about 20 ft tall and somewhat less in width, branches woolly. 
Flowers are very attractive, pinkish white with a spray of long red
stamens coming out of the center. Flowers arise singly, in lowest 2-4
leaf axils of current season's growth, 3-4 cm wide, 4 whitish petals
with red centers, 4 sepals and numerous carmine colored stamens, yellow
anthers. In addition to being showy, the flowers are also edible.
Leaves are simple, opposite, elliptical to ovate, 3-8 cm long and 2-4
cm wide, margin entire, tip blunt, base rounded, glossy dark green
above, silvery-white woolly below. Fruit is ovate, 5 cm long,
yellow-green to blue-gray, edible, pulp juicy, greenish white, tastes
somewhat like pineapple with spearmint overtones or somewhat pear-like;
may take 4-7 months to ripen, depending upon climate. Pineapple Guava
is native to Argentina Northeast, Brazil South, Brazil Southeast,
Uruguay, cultivated elsewhere.	
"
Tapering Leaf Maple,Acer acuminatum,Aceraceae," Tapering Leaf Maple is a small to moderate sized deciduous tree, growing 
up to 15 m tall. Twigs are hairless. Leaves are 5-12 cm across, 3-5-lobed, 
(basal lobes small or absent). An identifying feature of this maple is 
that the leaf-lobes end in long tapering tip, about 1 cm long. Margins are 
sharply toothed, and the base is either heart-shaped or flat. Leaf stalks 
are 5-10 cm long, slender, often reddish. Flowers are borne in racemes, 
female flowers at the end of leafy shoots, and the male ones on leafless 
lateral shoots. Flowers are 4-merous, 5 mm across, greenish. Sepals are 4, 
oblong, 3-4 mm long. Petals are 4, ovate, shorter than sepals. Fruit is a 
samara, 2-3 cm long, divergent to erect, often reddish when young. 
Tapering Leaf Maple is found in the Himalayas, from Kashmir to C. Nepal, 
at altitudes of 2100-3000 m. Flowering: March-April. "
Bluish Grey Maple,Acer caesium,Aceraceae," Bluish Grey Maple is a deciduous tree, growing up to 25 m tall. Bark is is 
rather grey. Twigs are red-brown, hairless, peppered with dots. Flower 
buds are large, prominent in dormant season. Leaves are 8-20 cm across, 
palmately 3-5-lobed; basal lobes small, nerves 3-5. Leaf stalks are stout, 
5-15 cm long. Flower arise in corymbs at the end of branches. Flowers are 
5-merous, 5 mm across, yellow-green. Sepals obovate, 3-4 mm long, Petals 
shorter than the sepals. Fruit is a boomerang-shaped samara, 3-5 cm long. 
Wings are divergent, or sometimes overlapping. Flowering: March-May. "
Caucasian Maple,Acer cappadocicum,Aceraceae," Caucasian Maple is a medium-sized deciduous tree growing to 20-30 m tall 
with a broad, rounded crown. Oppositely arranged leaves are palmately lobed 
with 5-7 equal lobes, 6-15 cm across. The leaf stems bleed a milky latex 
when broken. The flowers are borne in corymbs of 15-30. Flowers are tiny, 
3-4 mm across, yellow-green with five petals. Fruit is a double samara with 
two winged seeds, the seeds are disc-shaped, strongly flattened, 6-11 mm 
across and 2-3 mm thick. The samara is reddish pink when young. 
The wings are 2.5-3 cm long, widely spread, 
approaching a 180° angle. The bark is greenish-grey, smooth in young trees, 
becoming shallowly grooved in mature. Caucasian Maple is found from central 
Turkey (ancient Cappadocia) east along the Caucasus, the Himalaya, to 
southwestern China. Flowering: March-May. "
Three-Leaved Maple,Acer negundo,Aceraceae," Three-Leaved Maple is a small, usually fast-growing and fairly short-lived 
tree that grows up to 10-25 m tall, with a trunk diameter of 30-50 cm, 
rarely up to 1 m. It often has several trunks and can form impenetrable 
thickets. The shoots are green, often with a whitish to pink or violet 
waxy coating when young. Branches are smooth, somewhat brittle, and tend 
to retain a fresh green colour rather than forming a bark of dead, 
protective tissue. The bark on its trunks is pale gray or light brown, 
deeply cleft into broad ridges, and scaly. Unlike most other maples, which 
usually have simple, palmately lobed leaves, Acer negundo has compound 
leaves that usually have 3-7 leaflets. Simple leaves are also occasionally 
present - technically, these are single-leaflet compound leaves. The 
leaflets are about 5-10 cm long and 3-7 cm wide with slightly toothed margins. Leaves have a translucent light green colour and turn yellow in 
the fall. The flowers are small and appear in early spring on drooping 
racemes 10-20 cm long. The seeds are paired samaras, each seed slender, 
1-2 cm long, with a 2-3 cm incurved wing. They drop in autumn or they may 
persist through winter. Seeds are usually both prolific and fertile. 
Unlike most other maples, Three-Leaved Maple is fully dioecious and both a 
""male"" and ""female"" tree are needed for either to reproduce. Three-Leaved 
Maple is native to North America, planted in gardens in Kashmir. "
Himalayan Maple,Acer oblongum,Aceraceae,"
A small or medium-sized evergreen tree. Leaves broadly oblong to lancelike,
long pointed, toothless, blue-green beneath, finely hairy when young. Flowers 
are greenish white, about 4 mm, in dense branched hairy terminal cluster.
A dead giveaway of a Maple tree is the typical winged Maple seed 
This evergreen 
Maple species from the Himalayas stays green all winter - unique among 
Maples. It grows in the lower Himalayan foothills from 600 to 2000 m 
elevation in moist forests, especially along streams. Cultivated in gardens 
for its ornamental, evergreen foliage. Bark smooth to wrinkled. Trunk 
irregularly buttressed at base. Twigs red-brown or purplish, slender. Wood 
is used in making farming implements.  "
Amazon Blue,Achetaria azurea,Plantaginaceae," Amazon Blue is a free branching, spreading, small shrub with bluish mauve 
flowers with a white eye. Each flower has two conspicuous
petals. Leaves are very fragrant with a smell resembling pine scent. It 
prefers acid soil. Amazon Blue is native to South America. In Indian climate 
it is an evergreen shrub that blooms most of the year.  "
Sneezeweed,Achillea ptarmica,Asteraceae," Sneezeweed is a grayish perennial with an erect,
slightly hairy stem that grows to about 60 cm and dies back in the
winter. The composite flowers consist of off-white short and broad rays
(petals) surrounding a yellowish brown disc. Size of the ray and disk
florets vary in different cultivars.  "
Cupid's Bower,Achimenes longiflora,Gesneriaceae," Cupid's Bower is an erect perennial plant with
whorls of 3-4 ovate to oblong, toothed, dark green leaves, up to 8 cm
long, red-marked beneath. The plant bears solitary, long, trumpet
shaped violet-blue flowers, up to 4 cm across, from summer to autumn.
Achimenes are usually grown in hanging containers. These thin-stemmed
plants require staking if grown in a container where upright growth is
desired. Cupid's Bower is native to C and S America, cultivated world
over as a garden plant. 
"
Wallich Germander,Achyrospermum wallichianum,Lamiaceae," Wallich Germander is an unbranched herb growing up to
80 cm tall. Flowers are borne in a compact cluster 4-9 x about 2.5 cm.
Flowers are white or pink or white with pink markings, 9-12 mm; tube
7-10.5 mm. Stamens are 4, anterior 2 longer, peeping out of the flower.
Calyx is 7-9 mm; teeth triangular-ovate, those of upper lip 1.5 mm,
those of lower lip 3.5 mm. Bracts are prominent, longer than calyx.
Stem base is woody, prostrate, rooting adventitiously. Stems are 28-100
cm, velvet-hairy to becoming hairless. Leaves are elliptic-ovate,
8.5-14.5 x 3.8-6.5 cm, shortly tapering, base wedge-shaped with blade
extending along leaf-stalk, margins sawtoothed, upper surface appressed
hairy, lower surface velvet-hairy on veins otherwise hairless;
leaf-stalk 1-3.5 cm. Nutlets are 2.5 x 1.7 mm. Wallich Germander is
found from Nepal to East Himalaya, to Myanmar and Thailand, at
altitudes of 600-2000 m. Flowering: August-November. 
"
Indian Vernonia,Acilepis dendigulensis,Asteraceae," Indian Vernonia is a large herb. 60-80 cm tall with white velvety 
branchlets. Alternately arranged, short-stalked leaves  are elliptic, 
2.5-9 cm long, 2.5-5 cm wide, with pointed tip and toothed margins. Leaves 
are green above and white-woolly beneath. Flower-heads are pink, borne in 
panicles. Bracts below the flowers are ovate. Florets are bisexula, 
tubular, purple, with 5 stamens. Fruit is an achene, 10-ribbed. Indian 
Vernonia is found on the hilly slopes of Peninsular India. 
Flowering: December. "
Dalzell's Vernonia,Acilepis ornata,Asteraceae," Dalzell's Vernonia is a herb or undershrub, up to
1.25 m tall; stems ribbed, glandular velvety above. Leaves are simple,
alternate, 14 x 5 cm, elliptic, inverted-lanceshaped, ovate or obovate,
pointed or tapering, membranous, sparsely velvet-hairy above and on the
nerves beneath, leaf-stalkd. Flowers are borne in corymbs, in
leaf-axils and at branch-ends. Flower-heads are about 1.2 cm across,
about 15-flowered; flower-cluster-stalk slender, upto 6.8 cm long, with
1 or more subulate bracts. Involucral bracts many-seriate, decurrent on
the flower-cluster-stalk, pointed, blunt, apiculate or mucronate,
fringed with hairs and darker near the tip; outer about 2.5 mm long;
innermost about 6 mm long. Achenes 2 mm long, hairless or hairy,
10-ribbed. Pappus hairs reddish, outer very short. Dalzell's Vernonia
is endemic to Southern Western Ghats. Flowering: October-March. 
"
Willow-Leaf Vernonia,Acilepis saligna,Asteraceae," Willow-Leaf Vernonia is a hard perennial herb, 0.5-1 m
tall. Flowers are borne in flat-topped leafy panicles, at branch-ends
or in leaf-axils. Flower-heads are usually 6-8, 5-8 mm in diameter;
flower-cluster-stalks 5-8 mm, densely finely velvet-hairy and
glandular. Involucre is narrowly bell-shaped, 5-7 x about 6 mm;
phyllaries 4- or 5-seriate, reddish purple in upper part, ovate or
oblong, 1.5-6 mm, rough. Florets are 16-20; flower reddish pink to pale
violet, occasionally  white, tubular, 6-7 mm, with slender tube and
narrowly bell-shaped limb; lobes lanceshaped, glandular. Stems are
erect, woody at base, to 8 mm in diameter, round, striped, sparsely
adpressed-finely velvet-hairy or nearly hairless, glandular. Leaf-stalk
are short to almost absent; leaf blade elliptic-oblong or
inverted-lanceshaped, 5-18 × 1-5 cm, papery, both surfaces rough-finely
velvet-hairy and glandular, lateral veins 7-8-paired, veins below
prominent, netveined veins sometimes very prominent, base narrowly
wedge-shaped, margin remotely sawtoothed, tip tapering or pointed.
Seedpods are cylindric, about 2 mm, 10-ribbed, hairless, glandular.
Pappus 1-seriate, setae whitish, about 7 mm, rough-barbellate.
Willow-Leaf Vernonia is found in thickets or open forests on slopes, in
E. Himalaya (Nepal to Bhutan) eastwards to Bangladesh, Myanmar,
Vietnam, Thailand & SW China, at altitudes of 500-1600 m. Flowering:
September-February. 
"
